customer_id,total_spent,avg_spent,purchase_count,recency,purchase_frequency,avg_days_between_purchases,unique_categories,unique_products,month_diversity,avg_purchase_hour,customer_gender,gender_male
CUST6569,14901,3725.25,4,261,0.003898635477582846,342.0,2,3,4,6.25,Male,1
CUST1813,51753,8625.5,6,138,0.00597609561752988,200.8,2,5,4,13.5,Female,0
CUST6542,26826,8942.0,3,426,0.007263922518159807,206.5,2,2,3,14.0,Female,0
CUST8204,15547,5182.333333333333,3,204,0.002830188679245283,530.0,2,3,2,16.666666666666668,Male,1
CUST9309,15218,3043.6,5,395,0.006578947368421052,190.0,2,5,4,6.6,Female,0
CUST1999,34604,8651.0,4,426,0.005997001499250375,222.33333333333334,2,3,3,4.0,Male,1
CUST7331,20130,5032.5,4,411,0.004576659038901602,291.3333333333333,1,3,4,5.75,Male,1
CUST0681,28983,9661.0,3,260,0.004418262150220913,339.5,2,2,2,6.666666666666667,Female,0
CUST8077,13189,3297.25,4,141,0.003838771593090211,347.3333333333333,2,4,4,11.75,Female,0
CUST0502,79591,13265.166666666666,6,17,0.005046257359125316,237.8,2,5,6,11.333333333333334,Female,0
CUST6189,3141,3141.0,1,434,1.0,0.0,1,1,1,19.0,Female,0
CUST3763,21386,10693.0,2,166,0.0030211480362537764,662.0,1,2,2,12.0,Male,1
CUST5937,42829,5353.625,8,11,0.006493506493506494,176.0,2,5,5,13.5,Male,1
CUST8466,19337,3867.4,5,200,0.005488474204171241,227.75,2,4,4,14.0,Female,0
CUST4054,49663,12415.75,4,516,0.006802721088435374,196.0,2,4,4,8.0,Male,1
CUST4695,20401,6800.333333333333,3,98,0.005145797598627788,291.5,2,3,3,18.333333333333332,Female,0
CUST2165,28894,9631.333333333334,3,39,0.0036855036855036856,407.0,2,3,3,14.333333333333334,Male,1
CUST6749,20586,10293.0,2,840,0.004830917874396135,414.0,2,2,2,8.5,Female,0
CUST2230,17358,5786.0,3,297,0.003089598352214212,485.5,2,3,3,4.666666666666667,Male,1
CUST7261,12237,4079.0,3,780,0.00641025641025641,234.0,2,3,3,14.333333333333334,Male,1
CUST0570,45276,11319.0,4,121,0.007707129094412331,173.0,2,4,4,9.5,Female,0
CUST6208,3084,3084.0,1,1222,1.0,0.0,1,1,1,6.0,Female,0
CUST2991,31169,7792.25,4,92,0.004073319755600814,327.3333333333333,2,3,4,10.0,Female,0
CUST8775,114119,16302.714285714286,7,186,0.006910167818361303,168.83333333333334,2,4,6,8.142857142857142,Female,0
CUST1932,28105,14052.5,2,560,0.00823045267489712,243.0,1,2,2,6.5,Female,0
CUST3569,14191,7095.5,2,163,0.00375234521575985,533.0,2,2,2,5.5,Female,0
CUST2012,24394,4878.8,5,586,0.006954102920723227,179.75,2,4,5,13.2,Male,1
CUST1761,40429,6738.166666666667,6,121,0.005607476635514018,214.0,2,4,3,14.5,Male,1
CUST2300,30033,5005.5,6,67,0.0048543689320388345,247.2,2,5,5,11.666666666666666,Female,0
CUST5310,32295,16147.5,2,84,0.08695652173913043,23.0,2,2,2,14.0,Male,1
CUST4218,38280,7656.0,5,140,0.00471253534401508,265.25,2,5,4,15.4,Male,1
CUST1993,60088,15022.0,4,148,0.005215123859191656,255.66666666666666,2,4,4,11.5,Male,1
CUST9790,15409,5136.333333333333,3,291,0.012244897959183673,122.5,2,3,3,11.333333333333334,Female,0
CUST3247,50362,10072.4,5,462,0.006811989100817439,183.5,2,4,4,7.4,Male,1
CUST2873,27553,6888.25,4,44,0.004842615012106538,275.3333333333333,1,3,3,16.0,Male,1
CUST9133,43329,7221.5,6,109,0.005825242718446602,206.0,2,5,6,6.833333333333333,Male,1
CUST2642,24650,24650.0,1,795,1.0,0.0,1,1,1,22.0,Female,0
CUST7033,21675,7225.0,3,789,0.012552301255230125,119.5,2,3,2,15.0,Female,0
CUST3913,24349,4869.8,5,66,0.004088307440719542,305.75,2,3,5,12.6,Male,1
CUST2404,63224,9032.0,7,28,0.006129597197898424,190.33333333333334,2,5,6,10.142857142857142,Male,1
CUST3868,26199,8733.0,3,494,0.005988023952095809,250.5,2,2,3,15.666666666666666,Female,0
CUST3980,22563,7521.0,3,337,0.003161222339304531,474.5,1,3,2,5.333333333333333,Male,1
CUST2350,27190,5438.0,5,394,0.005605381165919282,223.0,2,4,5,12.6,Female,0
CUST2518,54731,9121.833333333334,6,119,0.006622516556291391,181.2,2,4,5,14.333333333333334,Male,1
CUST1942,25385,6346.25,4,787,0.008298755186721992,160.66666666666666,2,3,4,9.5,Female,0
CUST4402,86733,9637.0,9,139,0.008294930875576038,135.625,2,7,7,11.333333333333334,Female,0
